position,method,symbol_sent,symbol_sent_display,symbol_code,symbol_decoded,symbol_decoded_display,correct,symbol_state_fidelity,largest_readout_probability,entanglement_fidelity_single_use,entanglement_fidelity_character,choi_fidelity_single_use,choi_fidelity_character,operator_error_single_use,operator_error_character,logical_depth_per_character,routed_depth_per_character,logical_cnot_per_character,routed_cnot_per_character,swap_per_character
9,Clifford direct,S,S,0111,S,S,True,0.9999999999999705,0.9999999999999705,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
10,Clifford direct,T,T,1000,T,T,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
11,Clifford direct, ,ESPACE,0110, ,ESPACE,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
12,Clifford direct,V,V,1001,V,V,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
13,Clifford direct,I,I,0100,I,I,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
14,Clifford direct,V,V,1001,V,V,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
15,Clifford direct,A,A,0101,A,A,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
16,Clifford direct,N,N,1010,N,N,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
17,Clifford direct,T,T,1000,T,T,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
18,Clifford direct,E,E,0010,E,E,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,,56,,0
1,Clifford route chaine,O,O,0000,O,O,True,0.9999999999999725,0.9999999999999725,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
2,Clifford route chaine,R,R,0001,R,R,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
3,Clifford route chaine,E,E,0010,E,E,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
4,Clifford route chaine,L,L,0011,L,L,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
5,Clifford route chaine,I,I,0100,I,I,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
6,Clifford route chaine,A,A,0101,A,A,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
7,Clifford route chaine, ,ESPACE,0110, ,ESPACE,True,0.9999999999999711,0.9999999999999711,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
8,Clifford route chaine,E,E,0010,E,E,True,0.9999999999999718,0.9999999999999718,0.9999999999999928,0.9999999999999711,0.9999999999999938,0.9999999999999751,1.980209576835881e-15,1.598738964129565e-14,12,84,56,392,112
