B_size,seed,scrambler_layers,emission_time,petz_entanglement_fidelity,noise_model,noise_depth,synthesis_method,claim,geometry,architecture_diameter,causal_line_lower_bound,logical_cnot_count,logical_two_qubit_depth,mean_logical_interaction_distance,routing_swap_count,routed_cnot_count,routed_two_qubit_depth,final_entanglement_fidelity,status
4,4016,3,2,0.9999999999999982,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,27,19,1.7407407407407407,0,27,19,0.9999999999999962,validated
4,4016,3,2,0.9999999999999982,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,27,19,1.7407407407407407,18,81,71,0.9999999999999962,validated
4,4017,3,1,0.49999999999999856,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4017,3,2,0.49999999999999917,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,23,17,1.4782608695652173,0,23,17,0.49999999999999734,validated
4,4017,3,2,0.49999999999999917,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,23,17,1.4782608695652173,12,59,49,0.49999999999999734,validated
4,4018,3,1,0.9999999999999979,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4018,3,2,0.9999999999999978,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,25,20,1.52,0,25,20,0.9999999999999956,validated
4,4018,3,2,0.9999999999999978,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,25,20,1.52,10,55,41,0.9999999999999956,validated
4,4019,3,1,0.49999999999999906,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4019,3,2,0.49999999999999933,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,31,29,1.8709677419354838,0,31,29,0.4999999999999972,validated
4,4019,3,2,0.49999999999999933,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,31,29,1.8709677419354838,24,103,89,0.4999999999999972,validated
4,4000,6,1,0.9999999999999963,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4000,6,2,0.9999999999999957,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,26,23,1.7307692307692308,0,26,23,0.9999999999999925,validated
4,4000,6,2,0.9999999999999957,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,26,23,1.7307692307692308,28,110,90,0.9999999999999925,validated
4,4001,6,1,0.9999999999999971,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4001,6,2,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,26,16,1.5,0,26,16,0.9999999999999952,validated
4,4001,6,2,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,26,16,1.5,18,80,61,0.9999999999999952,validated
4,4002,6,1,0.9999999999999964,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4002,6,2,0.9999999999999973,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,34,25,1.2647058823529411,0,34,25,0.9999999999999918,validated
4,4002,6,2,0.9999999999999973,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,34,25,1.2647058823529411,22,100,85,0.9999999999999918,validated
4,4003,6,1,0.999999999999996,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4003,6,2,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,26,24,1.5,0,26,24,0.9999999999999926,validated
4,4003,6,2,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,26,24,1.5,32,122,89,0.9999999999999926,validated
4,4004,6,1,0.4999999999999983,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4004,6,2,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,26,18,1.4230769230769231,0,26,18,0.9999999999999947,validated
4,4004,6,2,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,26,18,1.4230769230769231,40,146,106,0.9999999999999947,validated
4,4005,6,1,0.4999999999999982,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4005,6,2,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,27,23,1.6296296296296295,0,27,23,0.9999999999999939,validated
4,4005,6,2,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,27,23,1.6296296296296295,16,75,59,0.9999999999999939,validated
4,4006,6,1,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4006,6,2,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,32,24,1.59375,0,32,24,0.9999999999999952,validated
4,4006,6,2,0.9999999999999967,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,32,24,1.59375,24,104,92,0.9999999999999952,validated
4,4007,6,1,0.4999999999999984,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4007,6,2,0.9999999999999966,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,27,20,1.5185185185185186,0,27,20,0.9999999999999925,validated
4,4007,6,2,0.9999999999999966,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,27,20,1.5185185185185186,34,129,87,0.9999999999999925,validated
4,4008,6,1,0.9999999999999964,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4008,6,2,0.9999999999999957,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,24,1.6551724137931034,0,29,24,0.9999999999999923,validated
4,4008,6,2,0.9999999999999957,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,29,24,1.6551724137931034,38,143,112,0.9999999999999923,validated
4,4009,6,1,0.4999999999999984,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4009,6,2,0.999999999999996,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,23,1.5172413793103448,0,29,23,0.9999999999999943,validated
4,4009,6,2,0.999999999999996,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,29,23,1.5172413793103448,22,95,80,0.9999999999999943,validated
4,4010,6,1,0.49999999999999845,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4010,6,2,0.49999999999999833,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,28,1.7241379310344827,0,29,28,0.49999999999999617,validated
4,4010,6,2,0.49999999999999833,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,29,28,1.7241379310344827,32,125,105,0.49999999999999617,validated
4,4011,6,1,0.9999999999999966,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4011,6,2,0.9999999999999969,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,21,16,1.9523809523809523,0,21,16,0.9999999999999947,validated
4,4011,6,2,0.9999999999999969,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,21,16,1.9523809523809523,16,69,58,0.9999999999999947,validated
4,4012,6,1,0.9999999999999973,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4012,6,2,0.9999999999999968,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,27,24,1.7777777777777777,0,27,24,0.9999999999999947,validated
4,4012,6,2,0.9999999999999968,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,27,24,1.7777777777777777,24,99,77,0.9999999999999947,validated
4,4013,6,1,0.49999999999999806,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4013,6,2,0.9999999999999953,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,24,16,1.625,0,24,16,0.9999999999999933,validated
4,4013,6,2,0.9999999999999953,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,24,16,1.625,14,66,52,0.9999999999999933,validated
4,4014,6,1,0.4999999999999981,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4014,6,2,0.9999999999999973,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,21,16,1.4761904761904763,0,21,16,0.9999999999999936,validated
